sha,file,type,begin,end
f16509a5c9187f592c48c253ee001fc3a5e0d508,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,RENAME,1759,1782
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/Driver.java,RENAME,1585,1596
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/LlapClusterResourceProcessor.java,INLINE,74,112
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/LlapCacheResourceProcessor.java,INLINE,90,121
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorException.java,MOVE,62,64
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/Driver.java,CHANGE_SIGNATURE,1512,1521
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorResponse.java,CHANGE_SIGNATURE,34,36
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java,INLINE,358,416
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorException.java,MOVE,66,68
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/DriverState.java,RENAME,111,118
7ae6756d40468d18b65423a0b5174b827dc42b60,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/metadata/TestSemanticAnalyzerHookLoading.java,EXTRACT,64,68
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/DriverState.java,RENAME,102,109
7ae6756d40468d18b65423a0b5174b827dc42b60,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/TestStorageBasedClientSideAuthorizationProvider.java,CHANGE_SIGNATURE,93,98
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorException.java,MOVE,58,60
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/ErasureProcessor.java,INLINE,94,145
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java,INLINE,287,356
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/DriverState.java,EXTRACT_MOVE,89,96
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/Driver.java,EXTRACT,606,641
7ae6756d40468d18b65423a0b5174b827dc42b60,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/security/TestClientSideAuthorizationProvider.java,CHANGE_SIGNATURE,237,241
7ae6756d40468d18b65423a0b5174b827dc42b60,ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorException.java,MOVE,74,76
7ae6756d40468d18b65423a0b5174b827dc42b60,service/src/java/org/apache/hive/service/cli/operation/Operation.java,CHANGE_SIGNATURE,354,361
5ba401e605f3aee5b4a0c6074a3b3490a668cb00,itests/util/src/main/java/org/apache/hadoop/hive/ql/QOutProcessor.java,CHANGE_SIGNATURE,141,144
2d99f7863f9da49ef56a85ae156f4bd4b9d5802b,llap-client/src/test/org/apache/hadoop/hive/registry/impl/TestZookeeperUtils.java,RENAME,44,49
2d99f7863f9da49ef56a85ae156f4bd4b9d5802b,llap-client/src/test/org/apache/hadoop/hive/registry/impl/TestZookeeperUtils.java,RENAME,58,63
2d99f7863f9da49ef56a85ae156f4bd4b9d5802b,llap-client/src/test/org/apache/hadoop/hive/registry/impl/TestZookeeperUtils.java,RENAME,51,56
bd432c9203584c531f51559d8c97c398202f0794,itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/metastore/security/TestHadoopAuthBridge23.java,RENAME,95,105
bd432c9203584c531f51559d8c97c398202f0794,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/AuthFactory.java,MOVE,210,225
9524a0b60f14280c04c76eb0a80434fd6e907868,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestAppendPartitions.java,EXTRACT,110,116
9524a0b60f14280c04c76eb0a80434fd6e907868,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestAppendPartitions.java,EXTRACT,118,123
1ed457c24b81f1c72df7071dc7835dc81a393651,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestAlterPartitions.java,EXTRACT,162,171
1ed457c24b81f1c72df7071dc7835dc81a393651,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestAlterPartitions.java,EXTRACT,116,118
1ed457c24b81f1c72df7071dc7835dc81a393651,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestAlterPartitions.java,EXTRACT,124,127
5717cdecb7bab42c3f6db5686d45b40f08aa8e66,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFPercentileCont.java,CHANGE_SIGNATURE,223,225
5717cdecb7bab42c3f6db5686d45b40f08aa8e66,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFPercentileCont.java,EXTRACT_MOVE,108,120
5717cdecb7bab42c3f6db5686d45b40f08aa8e66,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFPercentileCont.java,EXTRACT,108,120
3fb2b3883228ef7b20e515775fd9870b853ea627,itests/util/src/main/java/org/apache/hadoop/hive/ql/dataset/QTestDatasetHandler.java,CHANGE_SIGNATURE,44,50
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/drop/DropWMTriggerDesc.java,MOVE,27,51
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/drop/DropResourcePlanOperation.java,MOVE,27,41
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/resourceplan/alter/AbstractAlterResourcePlanStatusOperation.java,RENAME,71,118
3dc59264b30a8aea53d1d6f06e17f97b88444008,ql/src/java/org/apache/hadoop/hive/ql/ddl/workloadmanagement/trigger/pool/add/AlterPoolAddTriggerDesc.java,MOVE,26,61
